country,score
Afghanistan, 79.39
Albania, 44.5
Algeria, 53.88
Angola, 67.45
Argentina, 66.27333333333333
Armenia, 21.66
Australia, 46.27375
Austria, 27.115000000000002
Azerbaijan, 30.36
Bahrain, 21.06
Bangladesh, 63.66
Belarus, 58.72
Belgium, 43.4025
Bosnia And Herzegovina, 39.99
Botswana, 55.67
Brazil, 67.51076923076923
Bulgaria, 39.63
Cambodia, 53.56
Canada, 50.830285714285715
Chile, 59.8
China, 33.53
Colombia, 62.68
Costa Rica, 55.38
Croatia, 26.136666666666667
Cuba, 31.2
Cyprus, 30.96
Czech Republic, 25.09
Denmark, 24.27
Dominican Republic, 68.37
Ecuador, 57.623333333333335
Egypt, 44.96
El Salvador, 69.79
Estonia, 22.145
Ethiopia, 47.15
Finland, 27.763333333333332
France, 53.906666666666666
Georgia, 25.16
Germany, 36.858
Ghana, 46.88
Greece, 55.61
Guatemala, 62.65
Honduras, 80.87
Hong Kong, 21.62
Hungary, 35.06
Iceland, 23.02
India, 43.352399999999996
Indonesia, 50.83
Iran, 55.72
Iraq, 59.13
Ireland, 42.074
Israel, 29.906666666666666
Italy, 47.11166666666667
Jamaica, 71.44
Japan, 28.07
Jordan, 38.82
Kazakhstan, 48.650000000000006
Kenya, 59.03
Kuwait, 30.55
Latvia, 37.91
Lebanon, 46.67
Libya, 62.29
Lithuania, 33.516666666666666
Luxembourg, 30.15
Malaysia, 52.39000000000001
Maldives, 63.89
Mexico, 52.16538461538461
Moldova, 44.74
Mongolia, 55.34
Montenegro, 47.2
Morocco, 45.78
Namibia, 68.64
Nepal, 37.25
Netherlands, 27.235
New Zealand, 41.269999999999996
Nigeria, 66.22
North Macedonia, 46.76
Norway, 29.610000000000003
Oman, 20.54
Pakistan, 41.99
Panama, 47.16
Papua New Guinea, 80.71
Paraguay, 49.29
Peru, 70.7
Philippines, 46.040000000000006
Poland, 33.39714285714286
Portugal, 39.166666666666664
Puerto Rico, 68.55
Qatar, 13.96
Romania, 32.99625
Russia, 43.39142857142857
Rwanda, 24.16
Saudi Arabia, 28.516666666666666
Serbia, 39.709999999999994
Singapore, 27.22
Slovakia, 29.89
Slovenia, 21.48
South Africa, 77.33666666666666
South Korea, 25.38
Spain, 32.846666666666664
Sri Lanka, 41.19
Sweden, 44.884
Switzerland, 21.156666666666666
Syria, 67.94
Taiwan, 15.05
Tanzania, 59.9
Thailand, 37.11333333333334
Trinidad And Tobago, 76.21
Tunisia, 47.14
Turkey, 32.01
Ukraine, 47.742000000000004
United Arab Emirates, 14.825
United Kingdom, 46.55277777777778
United States, 53.688411458333334
Uruguay, 54.81
Uzbekistan, 33.86
Venezuela, 83.98
Vietnam, 45.864999999999995
Zimbabwe, 60.35
ity, 0
